지점,지점명,일시,평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
108,서울,2017-01-01,75.9,1.7,4.38
108,서울,2017-01-02,77.8,2.7,5.11
108,서울,2017-01-03,61.8,8.9,8.51
108,서울,2017-01-04,55,8.6,8.68
108,서울,2017-01-05,52.3,0,4.27
108,서울,2017-01-06,58.5,6,7.04
108,서울,2017-01-07,64.9,7,7.45
108,서울,2017-01-08,61.4,2.9,5.64
108,서울,2017-01-09,60.8,6.2,7.29
108,서울,2017-01-10,45.1,9.1,8.99
108,서울,2017-01-11,36.4,9.2,9.47
108,서울,2017-01-12,43.1,8.6,9.62
108,서울,2017-01-13,47.4,5.6,8.18
108,서울,2017-01-14,33.3,9.2,10.7
108,서울,2017-01-15,35.3,9.2,10.76
108,서울,2017-01-16,37.6,9.2,10.41
108,서울,2017-01-17,46.6,8.6,7.58
108,서울,2017-01-18,68.9,1.9,4.48
108,서울,2017-01-19,55.4,8.1,8.08
108,서울,2017-01-20,70.3,6,6.88
108,서울,2017-01-21,78.1,3.3,6.37
108,서울,2017-01-22,51.3,9.1,10.73
108,서울,2017-01-23,48.4,9.4,10.81
108,서울,2017-01-24,49.6,9.4,11.07
108,서울,2017-01-25,50.6,9.5,10.78
108,서울,2017-01-26,64.4,5.7,7.06
108,서울,2017-01-27,47.3,9.2,11.32
108,서울,2017-01-28,38,7.8,10.22
108,서울,2017-01-29,71.1,0,1.94
108,서울,2017-01-30,61.4,8.7,11.49
108,서울,2017-01-31,44.8,8.2,10.8
108,서울,2017-02-01,44.5,9.5,12.02
108,서울,2017-02-02,52.9,9.6,12.2
108,서울,2017-02-03,65.4,9.2,10.33
108,서울,2017-02-04,69.4,1,3.59
108,서울,2017-02-05,75.3,0,2.44
108,서울,2017-02-06,51,9.8,12.49
108,서울,2017-02-07,45.4,4.1,7.68
108,서울,2017-02-08,50.1,1.2,5.84
108,서울,2017-02-09,47,8.8,11.31
108,서울,2017-02-10,44.3,9.6,13.12
108,서울,2017-02-11,45.4,9.7,13.41
108,서울,2017-02-12,51.3,9.8,13.67
108,서울,2017-02-13,59.6,6.4,9.32
108,서울,2017-02-14,46,9.8,13.79
108,서울,2017-02-15,52.1,8.9,11.14
108,서울,2017-02-16,63.9,2.1,5.08
108,서울,2017-02-17,56.9,9.5,14.39
108,서울,2017-02-18,49.4,10,14.56
108,서울,2017-02-19,68,1.2,5.12
108,서울,2017-02-20,53.8,9.9,14.19
108,서울,2017-02-21,37.1,9.9,14.09
108,서울,2017-02-22,70.8,0,2.21
108,서울,2017-02-23,56.4,10.2,15.33
108,서울,2017-02-24,51.3,9,14.28
