지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm)
116,관악(레),2017-01-01,,,,0
116,관악(레),2017-01-02,,,,0
116,관악(레),2017-01-03,-1,-3.9,2.4,0
116,관악(레),2017-01-04,1.2,-.6,3.9,0
116,관악(레),2017-01-05,.6,-1.3,3.8,0
116,관악(레),2017-01-06,1.8,-.7,5.3,0
116,관악(레),2017-01-07,2.4,.7,5.7,0
116,관악(레),2017-01-08,2.8,0,7.2,0
116,관악(레),2017-01-09,-2.7,-7.2,.2,0
116,관악(레),2017-01-10,-7.5,-11.4,-3.1,0
116,관악(레),2017-01-11,-7.6,-11.9,-3.8,0
116,관악(레),2017-01-12,-6,-10.1,-3,0
116,관악(레),2017-01-13,-10.2,-12.6,-6.2,0
116,관악(레),2017-01-14,-12.7,-14.8,-10.3,0
116,관악(레),2017-01-15,-10.5,-14.2,-5.6,0
116,관악(레),2017-01-16,-6.2,-9.6,.7,0
116,관악(레),2017-01-17,-3.9,-5.6,.1,0
116,관악(레),2017-01-18,,,,0
116,관악(레),2017-01-19,,,,0
116,관악(레),2017-01-20,-8.7,-11.2,-3,4
116,관악(레),2017-01-21,,,,.5
116,관악(레),2017-01-22,-12.3,-14.6,-6.1,0
116,관악(레),2017-01-23,,,,0
116,관악(레),2017-01-24,-10.4,-13.8,-6,0
116,관악(레),2017-01-25,-7.7,-10.3,-4.2,0
116,관악(레),2017-01-26,,,,0
116,관악(레),2017-01-27,-6.8,-9.2,.6,1.5
116,관악(레),2017-01-28,-2.9,-9.7,1.5,0
116,관악(레),2017-01-29,-1.4,-4.4,2.8,6.5
116,관악(레),2017-01-30,-9.4,-11.4,-4.3,0
116,관악(레),2017-01-31,-8.2,-11.6,-4.5,0
116,관악(레),2017-02-01,-7.3,-11.5,-4.3,0
116,관악(레),2017-02-02,-6.4,-12.1,-1.8,0
116,관악(레),2017-02-03,-2,-4.2,1.6,0
116,관악(레),2017-02-04,.3,-3.4,3.2,0
116,관악(레),2017-02-05,-1.9,-5.7,2.5,1
116,관악(레),2017-02-06,-6.2,-8.7,-3,0
116,관악(레),2017-02-07,-4.8,-7.8,-1.5,0
116,관악(레),2017-02-08,-5,-7.7,-2.6,0
116,관악(레),2017-02-09,-9.5,-11.1,-6.7,0
116,관악(레),2017-02-10,-11,-13.6,-7.2,0
116,관악(레),2017-02-11,-9.2,-12.9,-4.7,0
116,관악(레),2017-02-12,-5.6,-9.3,-1.1,0
116,관악(레),2017-02-13,-3.1,-5.6,-.3,0
116,관악(레),2017-02-14,-3.5,-6.6,.7,0
116,관악(레),2017-02-15,-.4,-3.7,3.2,0
116,관악(레),2017-02-16,3.7,.8,6.3,0
116,관악(레),2017-02-17,-3.6,-9.7,5.9,3.5
116,관악(레),2017-02-18,-6.8,-10.9,-2.1,0
116,관악(레),2017-02-19,-1.1,-5.1,2.8,1.5
116,관악(레),2017-02-20,-5.9,-9.1,3.2,1
116,관악(레),2017-02-21,-3.2,-9.3,1.6,0
116,관악(레),2017-02-22,-1.4,-4.9,1.7,5
116,관악(레),2017-02-23,-6.4,-8.3,-3,0
116,관악(레),2017-02-24,-5,-8.9,-1.4,0
116,관악(레),2017-02-25,-1.6,-4.4,2.3,0
116,관악(레),2017-02-26,-.3,-3.3,4,0
116,관악(레),2017-02-27,1,-1.7,4.7,0
116,관악(레),2017-02-28,2.5,-.6,7.1,0
116,관악(레),2017-03-01,1.9,-1.2,6.9,5.5
116,관악(레),2017-03-02,-2.6,-4.6,.3,1
116,관악(레),2017-03-03,-.2,-5.1,4.7,0
116,관악(레),2017-03-04,2.7,-.7,6.9,0
116,관악(레),2017-03-05,1.9,-.3,6,0
116,관악(레),2017-03-06,-4.6,-7.1,-.1,0
116,관악(레),2017-03-07,-6.1,-8.6,-2.4,0
116,관악(레),2017-03-08,-4.4,-8.7,-.4,0
116,관악(레),2017-03-09,-.8,-5.5,3.8,0
116,관악(레),2017-03-10,1.2,-2.8,6.5,0
116,관악(레),2017-03-11,5.3,.9,10.7,0
116,관악(레),2017-03-12,5.1,1.4,8.7,0
116,관악(레),2017-03-13,1.7,-2,6.4,0
116,관악(레),2017-03-14,1.3,-1.8,5.4,0
116,관악(레),2017-03-15,2.8,-.8,7.2,0
116,관악(레),2017-03-16,3.4,1,7.6,0
116,관악(레),2017-03-17,5.1,1.7,10.1,0
116,관악(레),2017-03-18,6.4,3.6,10.5,0
116,관악(레),2017-03-19,8.1,3.4,13.2,0
116,관악(레),2017-03-20,7.8,4.5,10.6,0
116,관악(레),2017-03-21,3.2,-.2,7.4,0
116,관악(레),2017-03-22,3.6,.3,8.2,0
116,관악(레),2017-03-23,5.3,3.1,9.3,0
