"","발생일","발생지_시군구","사고건수"
"1","2017-01-01","강북구",1
"2","2017-01-01","노원구",1
"3","2017-01-01","동작구",1
"4","2017-01-01","서초구",1
"5","2017-01-01","송파구",1
"6","2017-01-01","양천구",1
"7","2017-01-01","용산구",1
"8","2017-01-01","중랑구",1
"9","2017-01-01","송파구",1
"10","2017-01-01","용산구",1
"11","2017-01-01","중랑구",1
"12","2017-01-01","강남구",1
"13","2017-01-01","강동구",1
"14","2017-01-01","강서구",1
"15","2017-01-01","동대문구",1
"16","2017-01-01","서초구",2
"17","2017-01-01","송파구",2
"18","2017-01-01","송파구",1
"19","2017-01-01","강남구",2
"20","2017-01-01","동대문구",1
"21","2017-01-01","용산구",1
"22","2017-01-01","종로구",1
"23","2017-01-01","강남구",1
"24","2017-01-01","금천구",2
"25","2017-01-01","서초구",1
"26","2017-01-01","영등포구",1
"27","2017-01-01","종로구",1
"28","2017-01-01","강서구",1
"29","2017-01-01","동작구",1
"30","2017-01-01","용산구",1
"31","2017-01-01","강북구",1
"32","2017-01-01","도봉구",1
"33","2017-01-01","강남구",1
"34","2017-01-01","광진구",1
"35","2017-01-01","중랑구",1
"36","2017-01-01","중구",1
"37","2017-01-01","관악구",1
"38","2017-01-01","구로구",1
"39","2017-01-01","영등포구",1
"40","2017-01-01","동작구",1
"41","2017-01-01","중랑구",1
"42","2017-01-01","동대문구",1
"43","2017-01-01","관악구",1
"44","2017-01-01","노원구",1
"45","2017-01-01","강서구",1
"46","2017-01-01","금천구",1
"47","2017-01-01","노원구",1
"48","2017-01-01","동대문구",1
"49","2017-01-01","종로구",1
"50","2017-01-01","강서구",1
"51","2017-01-01","강서구",1
"52","2017-01-01","동대문구",1
"53","2017-01-01","마포구",1
"54","2017-01-01","송파구",1
"55","2017-01-01","은평구",1
"56","2017-01-01","은평구",1
"57","2017-01-01","중랑구",1
"58","2017-01-01","강동구",1
"59","2017-01-01","광진구",1
"60","2017-01-01","마포구",1
"61","2017-01-01","용산구",1
"62","2017-01-01","강서구",1
"63","2017-01-01","금천구",1
"64","2017-01-01","동작구",1
"65","2017-01-01","강남구",1
"66","2017-01-01","강남구",1
