"","발생일","일조시간","사고건수"
"1",2017-01-01,1.7,73
"2",2017-01-02,2.7,82
"3",2017-01-03,8.9,88
"4",2017-01-04,8.6,115
"5",2017-01-05,0,103
"6",2017-01-06,6,96
"7",2017-01-07,7,103
"8",2017-01-08,2.9,72
"9",2017-01-09,6.2,95
"10",2017-01-10,9.1,102
"11",2017-01-11,9.2,123
"12",2017-01-12,8.6,113
"13",2017-01-13,5.6,117
"14",2017-01-14,9.2,112
"15",2017-01-15,9.2,106
"16",2017-01-16,9.2,131
"17",2017-01-17,8.6,89
"18",2017-01-18,1.9,118
"19",2017-01-19,8.1,91
"20",2017-01-20,6,75
"21",2017-01-21,3.3,99
"22",2017-01-22,9.1,83
"23",2017-01-23,9.4,144
"24",2017-01-24,9.4,174
"25",2017-01-25,9.5,170
"26",2017-01-26,5.7,134
"27",2017-01-27,9.2,69
"28",2017-01-28,7.8,51
"29",2017-01-29,0,51
"30",2017-01-30,8.7,39
"31",2017-01-31,8.2,79
"32",2017-02-01,9.5,71
"33",2017-02-02,9.6,84
"34",2017-02-03,9.2,102
"35",2017-02-04,1,91
"36",2017-02-05,0,76
"37",2017-02-06,9.8,91
"38",2017-02-07,4.1,80
"39",2017-02-08,1.2,106
"40",2017-02-09,8.8,102
"41",2017-02-10,9.6,114
"42",2017-02-11,9.7,108
"43",2017-02-12,9.8,90
"44",2017-02-13,6.4,119
"45",2017-02-14,9.8,81
"46",2017-02-15,8.9,100
"47",2017-02-16,2.1,95
"48",2017-02-17,9.5,130
"49",2017-02-18,10,121
"50",2017-02-19,1.2,85
"51",2017-02-20,9.9,97
"52",2017-02-21,9.9,91
"53",2017-02-22,0,91
"54",2017-02-23,10.2,102
"55",2017-02-24,9,98
"56",2017-02-25,10.1,137
"57",2017-02-26,10.3,73
"58",2017-02-27,10.6,89
"59",2017-02-28,9.8,101
"60",2017-03-01,1.2,106
"61",2017-03-02,9.7,86
"62",2017-03-03,10.5,107
"63",2017-03-04,10.7,105
"64",2017-03-05,6.2,77
"65",2017-03-06,10.9,99
"66",2017-03-07,10.9,89
"67",2017-03-08,8.1,106
"68",2017-03-09,10.5,94
"69",2017-03-10,10.9,118
"70",2017-03-11,11,117
"71",2017-03-12,2.3,83
"72",2017-03-13,10.3,110
"73",2017-03-14,11.2,102
"74",2017-03-15,11.2,116
"75",2017-03-16,10.8,92
"76",2017-03-17,10.9,100
"77",2017-03-18,9.2,109
"78",2017-03-19,10.9,77
"79",2017-03-20,0,91
"80",2017-03-21,9.2,90
"81",2017-03-22,10.3,118
"82",2017-03-23,8.6,112
"83",2017-03-24,7.9,109
"84",2017-03-25,5.9,83
"85",2017-03-26,5.4,74
"86",2017-03-27,3.5,99
"87",2017-03-28,6.9,100
"88",2017-03-29,10.8,107
"89",2017-03-30,9.1,106
"90",2017-03-31,0.2,110
"91",2017-04-01,10.3,97
"92",2017-04-02,11.6,89
"93",2017-04-03,11.7,86
