total사고건수,평균기온,일강수량,평균상대습도,합계일조시간,발생지_시군구_강남구,발생지_시군구_강동구,발생지_시군구_강북구,발생지_시군구_강서구,발생지_시군구_관악구,발생지_시군구_광진구,발생지_시군구_구로구,발생지_시군구_금천구,발생지_시군구_노원구,발생지_시군구_도봉구,발생지_시군구_동대문구,발생지_시군구_동작구,발생지_시군구_마포구,발생지_시군구_서대문구,발생지_시군구_서초구,발생지_시군구_성동구,발생지_시군구_성북구,발생지_시군구_송파구,발생지_시군구_양천구,발생지_시군구_영등포구,발생지_시군구_용산구,발생지_시군구_은평구,발생지_시군구_종로구,발생지_시군구_중구,발생지_시군구_중랑구,날짜_공휴일,날짜_주말,날짜_평일
7,3.5,0.0,75.9,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2.3,0.0,75.9,1.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3.8,0.0,75.9,1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,4.8,0.0,75.9,1.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3.5,0.0,75.9,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,3.2,0.0,75.9,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,3.8,0.0,75.9,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4.6,0.0,75.9,1.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0.9,0.0,75.9,1.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,2.6,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,3.8,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,2.1,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,4.5,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,3.6,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,4.2,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,4.5,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,4.9,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6,4.0,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,1.7,0.0,75.9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
