"","발생일","발생지_시군구","total사고건수","평균기온","일강수량","평균상대습도","합계일조시간"
"1","2017-01-01","강남구",7,3.5,0,75.9,1.7
"2","2017-01-01","강동구",2,2.3,0,75.9,1.7
"3","2017-01-01","강북구",2,3.8,0,75.9,1.7
"4","2017-01-01","강서구",6,4.8,0,75.9,1.7
"5","2017-01-01","관악구",2,3.5,0,75.9,1.7
"6","2017-01-01","광진구",2,3.2,0,75.9,1.7
"7","2017-01-01","구로구",1,3.8,0,75.9,1.7
"8","2017-01-01","금천구",4,4.6,0,75.9,1.7
"9","2017-01-01","노원구",3,0.9,0,75.9,1.7
"10","2017-01-01","도봉구",1,2.6,0,75.9,1.7
"11","2017-01-01","동대문구",5,3.8,0,75.9,1.7
"12","2017-01-01","동작구",4,2.1,0,75.9,1.7
"13","2017-01-01","마포구",2,4.5,0,75.9,1.7
"14","2017-01-01","서초구",4,3.6,0,75.9,1.7
"15","2017-01-01","송파구",6,4.2,0,75.9,1.7
"16","2017-01-01","양천구",1,4.5,0,75.9,1.7
"17","2017-01-01","영등포구",3,4.9,0,75.9,1.7
"18","2017-01-01","용산구",6,4,0,75.9,1.7
"19","2017-01-01","은평구",2,1.7,0,75.9,1.7
"20","2017-01-01","종로구",3,2.5,0,75.9,1.7
"21","2017-01-01","중구",1,3.4,0,75.9,1.7
"22","2017-01-01","중랑구",6,3.5,0,75.9,1.7
"23","2017-01-02","강남구",6,6.2,0,77.8,2.7
"24","2017-01-02","강동구",3,5.2,0,77.8,2.7
"25","2017-01-02","강북구",3,6.1,0,77.8,2.7
"26","2017-01-02","강서구",4,6,0,77.8,2.7
"27","2017-01-02","관악구",2,5.4,0,77.8,2.7
"28","2017-01-02","광진구",5,6,0,77.8,2.7
"29","2017-01-02","구로구",5,5.6,0,77.8,2.7
"30","2017-01-02","금천구",2,6.4,0,77.8,2.7
"31","2017-01-02","노원구",4,4.7,0,77.8,2.7
"32","2017-01-02","도봉구",2,5.6,0,77.8,2.7
"33","2017-01-02","동대문구",1,6.1,0.5,77.8,2.7
"34","2017-01-02","동작구",3,5.8,0,77.8,2.7
"35","2017-01-02","마포구",8,5.9,0,77.8,2.7
"36","2017-01-02","서대문구",2,5.7,0,77.8,2.7
"37","2017-01-02","서초구",5,6.6,0,77.8,2.7
"38","2017-01-02","성동구",2,6.7,0.5,77.8,2.7
"39","2017-01-02","성북구",3,5.3,0,77.8,2.7
"40","2017-01-02","송파구",4,6.5,0,77.8,2.7
"41","2017-01-02","영등포구",6,6.4,0,77.8,2.7
"42","2017-01-02","용산구",3,6.2,0,77.8,2.7
"43","2017-01-02","은평구",2,5.2,0,77.8,2.7
"44","2017-01-02","종로구",2,4,0,77.8,2.7
"45","2017-01-02","중구",3,4.7,0,77.8,2.7
"46","2017-01-02","중랑구",2,6,0.5,77.8,2.7
"47","2017-01-03","강남구",10,4,0,61.8,8.9
"48","2017-01-03","강북구",1,3.3,0,61.8,8.9
"49","2017-01-03","강서구",3,3.5,0,61.8,8.9
"50","2017-01-03","관악구",5,1.2,0,61.8,8.9
"51","2017-01-03","광진구",2,3.5,0,61.8,8.9
"52","2017-01-03","구로구",3,2.2,0,61.8,8.9
"53","2017-01-03","금천구",5,3.2,0,61.8,8.9
"54","2017-01-03","노원구",2,0.1,0,61.8,8.9
"55","2017-01-03","도봉구",3,1.8,0,61.8,8.9
"56","2017-01-03","동대문구",5,3.8,0,61.8,8.9
"57","2017-01-03","동작구",2,1.2,0,61.8,8.9
"58","2017-01-03","마포구",5,3.4,0,61.8,8.9
